t,plant,axis,metamer,Nstruct,mstruct,ratio_DZ,amino_acids,fructan,proteins,sucrose,nb_replications,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
0,1,MS,4,4.64e-06,0.000144,0.0,0.016848,0.0,0.479,0.1728,1,NA,NA,NA,NA,NA,NA
0,1,MS,5,1e-07,3.11e-06,0.5,0.000364,0.0,0.002,0.003732,1,NA,NA,NA,NA,NA,NA
0,1,MS,6,2.06e-08,6.4e-07,1.0,7.5e-05,0.0,0.0,0.000768,1,NA,NA,NA,NA,NA,NA
4,1,MS,4,4.64e-06,0.000144,0.0,0.03474510640278198,0.0001199864714849359,0.6020502846732327,0.20099111273416467,1,0.0001199864714849359,3.762814279207704,0.20375388434995714,198.90800662607165,0.0264653332820045,-0.004316690448448895
4,1,MS,5,1e-07,3.11e-06,0.5,0.000750533460812792,1.1830338372558865e-06,0.007472641902163459,0.004340819705716193,1,1.1830338372558865e-06,2.162500872008718,0.049306939590775534,404.48348863419085,0.001215911337192561,-0.00014967085291532395
4,1,MS,6,2.06e-08,6.4e-07,1.0,0.0001544546547944416,2.424903344149311e-07,0.0017007918884371573,0.0008932858684331587,1,2.424903344149311e-07,2.3917385931147526,0.0383391740102228,610.0487886881405,0.0003816379072705947,-3.349591417543587e-05
8,1,MS,4,4.64e-06,0.000144,0.0,0.030621660883344882,0.03856969270602602,0.7101070179010793,0.17543498616316272,1,0.03856969270602602,4.438168861881746,105.79762237573061,186.1522587896794,0.024912449378871025,0.01616588753402693
8,1,MS,5,1e-07,3.11e-06,0.5,0.0006614694310897669,0.0008541596383360807,0.01228661923864793,0.0037890572788459747,1,0.0008541596383360807,3.555613284496186,105.80096542838945,378.54874796742075,0.001151345828365325,0.0003356439714111874
8,1,MS,6,2.06e-08,6.4e-07,1.0,0.00013612633455787807,0.00028403447842244946,0.003197143377054096,0.0007797461812374893,1,0.00028403447842244946,4.495982873982322,105.80145534238972,570.9350631490018,0.0003594582805823815,7.009667537543772e-05
12,1,MS,4,4.64e-06,0.000144,0.0,0.029846721376573727,0.038745672335897464,0.8133569555867141,0.16918593075157207,1,0.038745672335897464,5.083480972416963,0.02531007334229422,183.57667481091738,0.018295551997330056,-0.008269006511304383
12,1,MS,5,1e-07,3.11e-06,0.5,0.0006446503942661148,0.002139830599975698,0.016889114611205142,0.003653769382328155,1,0.002139830599975698,4.887525128644575,102.74209334511411,373.28653974890966,0.0011468395117923667,0.0004485856673646874
12,1,MS,6,2.06e-08,6.4e-07,1.0,0.00013266532619091932,0.0005487379342653886,0.004627851418356463,0.0007519068360146804,1,0.0005487379342653886,6.507916057063776,102.74272858552254,562.9991679357136,0.00035638466384525303,9.640053503959623e-05
16,1,MS,4,4.64e-06,0.000144,0.0,0.03871304184157478,0.038939640239312935,0.9241076733746778,0.25925796560483055,1,0.038939640239312935,5.775672958591736,1.936651087688747e-06,209.85334768036682,-0.013619798711931747,-0.21746570715304003
16,1,MS,5,1e-07,3.11e-06,0.5,0.0008357071867525173,0.00361605666151407,0.021818029235825702,0.005596308026182935,1,0.00361605666151407,6.313899135769495,142.90940671047622,426.6066218537593,0.0013297878404557972,0.0012861788300877377
16,1,MS,6,2.06e-08,6.4e-07,1.0,0.00017198336467508422,0.00085254401265415,0.006159863986410203,0.0011516685496906405,1,0.00085254401265415,8.662308730889347,142.91093398580568,643.4157902324731,0.0004109104039927125,0.0002735162399874516
20,1,MS,4,4.64e-06,0.000144,0.0,0.040628595152502806,0.03940523296026559,1.0431454441655617,0.337703804024377,1,0.03940523296026559,6.51965902603476,2.2350692494153668e-07,214.73160253057574,-0.05124547865144619,-0.4754336100582597
20,1,MS,5,1e-07,3.11e-06,0.5,0.0008766029994929963,0.005599089056644367,0.02711074716079141,0.007287300314786117,1,0.005599089056644367,7.845553840743494,172.31205596734551,436.4193585911812,0.001339432460334952,0.0011333355815009584
20,1,MS,6,2.06e-08,6.4e-07,1.0,0.0001803990975780244,0.001260708795916262,0.007804777094039867,0.0014996514779634293,1,0.001260708795916262,10.975467788493562,172.3131602199531,658.2146685643004,0.000415584566944884,0.000247635258848677
